player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,positions_list,CAM,ST,LWB,CM,RW,CF,GK,CB,LW,LM,CDM,LB,RM,RB,RWB,adaptation_score,position_count,attacking_work_rate,defending_work_rate,injury_prone,club_expiry_soon,category
134979,/player/134979/martin-demichelis/160002,16,2,2015-09-21,M. Demichelis,Martín Gastón Demichelis,CB,81,81,5000000.0,80000.0,34,1980-12-20,184,78,13.0,Premier League,1.0,10.0,Manchester City,SUB,26.0,,2013-09-01,2016.0,52,Argentina,1369.0,SUB,15.0,Right,3,2,3,Low/Medium,Normal (170-185),Yes,,,"Dives Into Tackles (AI), Power Header",34.0,40.0,53.0,49.0,83.0,76.0,53,39,85,64,36,43,27,31,63,59,33,34,32,76,55,48,72,49,86,35,87,86,29,40,46,,83,82,76,7,11,12,7,6,,51+1,51+1,51+1,47+1,48+1,48+1,48+1,47+1,49+1,49+1,49+1,49+1,57+1,57+1,57+1,49+1,65+1,72+1,72+1,72+1,65+1,67+1,80+1,80+1,80+1,67+1,15+1,https://cdn.sofifa.net/players/134/979/16_120.png,['CB'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,1,2,0,1,Defender
189963,/player/189963/wilfried-bony/160002,16,2,2015-09-21,W. Bony,Wilfried Guemiand Bony,ST,81,84,21000000.0,120000.0,26,1988-12-10,182,91,13.0,Premier League,1.0,10.0,Manchester City,SUB,14.0,,2015-01-14,2019.0,108,Côte d'Ivoire,111112.0,ST,12.0,Right,4,3,2,Medium/Low,Stocky (170-185),Yes,,#Strength,"Injury Free, Long Shot Taker (AI), Power Header",72.0,83.0,59.0,74.0,39.0,85.0,45,83,84,68,76,74,66,58,45,76,69,75,67,81,72,89,86,78,94,80,70,38,85,65,77,,25,42,28,10,8,5,7,11,,81,81,81,73,77,77,77,73,73,73,73,70,67,67,67,70,56,56,56,56,56,54,56,56,56,54,17,https://cdn.sofifa.net/players/189/963/16_120.png,['ST'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,2,1,0,1,Forward
152554,/player/152554/gael-clichy/160002,16,2,2015-09-21,G. Clichy,Gaël Dimitri Clichy,LB,80,80,10500000.0,100000.0,29,1985-07-26,176,65,13.0,Premier League,1.0,10.0,Manchester City,SUB,22.0,,2011-07-04,2017.0,18,France,,,,Left,4,2,3,High/Medium,Lean (170-185),Yes,,,,84.0,43.0,65.0,74.0,80.0,68.0,79,34,70,64,59,71,64,38,69,78,82,85,77,72,75,52,70,82,66,43,55,77,66,59,45,,80,82,86,10,11,9,11,6,,62+1,62+1,62+1,68+1,65+1,65+1,65+1,68+1,66+1,66+1,66+1,71+1,68+1,68+1,68+1,71+1,78+1,73+1,73+1,73+1,78+1,79+1,75+1,75+1,75+1,79+1,16+1,https://cdn.sofifa.net/players/152/554/16_120.png,['LB'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,3,2,0,1,Defender
190531,/player/190531/eliaquim-mangala/160002,16,2,2015-09-21,E. Mangala,Eliaquim Mangala,CB,80,84,16000000.0,90000.0,24,1991-02-13,187,84,13.0,Premier League,1.0,10.0,Manchester City,LCB,20.0,,2014-08-11,2019.0,18,France,1335.0,SUB,13.0,Left,4,2,2,Medium/High,Normal (185+),Yes,,#Strength,"Dives Into Tackles (AI), Power Header",77.0,41.0,56.0,61.0,79.0,85.0,59,27,83,61,44,56,47,48,59,66,70,83,62,76,57,72,86,77,86,41,90,75,39,47,46,,79,79,84,10,13,6,10,14,,58,58,58,57,56,56,56,57,56,56,56,60,60,60,60,60,72,72,72,72,72,75,80,80,80,75,19,https://cdn.sofifa.net/players/190/531/16_120.png,['CB'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,2,3,0,1,Defender
163419,/player/163419/bacary-sagna/160002,16,2,2015-09-21,B. Sagna,Bacary Sagna,RB,79,79,5500000.0,100000.0,32,1983-02-14,176,72,13.0,Premier League,1.0,10.0,Manchester City,RB,3.0,,2014-07-01,2017.0,18,France,1335.0,RB,15.0,Right,4,3,3,High/Medium,Normal (170-185),Yes,,,Early Crosser,72.0,53.0,66.0,74.0,82.0,77.0,74,40,79,65,56,74,66,47,64,75,72,72,67,80,76,69,84,81,76,62,75,79,66,68,59,,83,83,84,11,9,7,9,9,,66+1,66+1,66+1,68+1,68+1,68+1,68+1,68+1,68+1,68+1,68+1,70+1,70+1,70+1,70+1,70+1,77+1,76+1,76+1,76+1,77+1,78+1,79,79,79,78+1,17+1,https://cdn.sofifa.net/players/163/419/16_120.png,['RB'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,3,2,0,1,Defender
183427,/player/183427/fabian-delph/160002,16,2,2015-09-21,F. Delph,Fabian Delph,"CM, CDM",77,81,8500000.0,80000.0,25,1989-11-21,174,60,13.0,Premier League,1.0,10.0,Manchester City,RES,18.0,,2015-07-17,2020.0,14,England,1318.0,LDM,8.0,Left,3,3,1,High/High,Lean (170-185),Yes,,#Engine,"Injury Prone, Dives Into Tackles (AI), Technical Dribbler (AI)",78.0,69.0,74.0,83.0,68.0,74.0,69,63,53,80,59,84,72,48,76,79,79,77,89,72,86,80,72,89,64,73,82,75,71,72,65,,63,73,71,10,9,14,11,6,,71,71,71,76,75,75,75,76,76,76,76,77,77,77,77,77,75,75,75,75,75,74,70,70,70,74,16,https://cdn.sofifa.net/players/183/427/16_120.png,"['CM', 'CDM']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,2,3,3,1,0,Unknown
203864,/player/203864/bruno-zuculini/160002,16,2,2015-09-21,B. Zuculini,Bruno Zuculini,"CM, RM",74,84,5500000.0,50000.0,22,1993-04-02,182,74,13.0,Premier League,1.0,10.0,Manchester City,RES,36.0,,2014-08-09,2019.0,52,Argentina,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,,,,80.0,70.0,67.0,73.0,74.0,68.0,54,69,76,77,62,74,35,39,71,72,82,78,78,72,66,75,64,79,60,67,76,74,77,72,70,,72,75,74,12,9,12,9,13,,73,73,73,72,74,74,74,72,74,74,74,73,74,74,74,73,73,73,73,73,73,73,73,73,73,73,18,https://cdn.sofifa.net/players/203/864/16_120.png,"['CM', 'RM']",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,2,2,2,0,1,Unknown
225719,/player/225719/kelechi-iheanacho/160002,16,2,2015-09-21,K. Iheanacho,Kelechi Promise Iheanacho,ST,67,85,1400000.0,8000.0,18,1996-10-03,177,77,13.0,Premier League,1.0,10.0,Manchester City,SUB,72.0,,2014-07-01,2016.0,133,Nigeria,,,,Left,3,2,1,High/Medium,Normal (170-185),No,,,"Beat Offside Trap, Finesse Shot, Flair",85.0,68.0,55.0,68.0,21.0,63.0,32,70,54,61,60,68,62,53,57,66,86,85,77,62,70,70,58,62,69,63,50,17,68,63,64,,13,22,12,8,7,7,11,15,,67,67,67,66,68,68,68,66,66,66,66,64,59,59,59,64,44,43,43,43,44,41,37,37,37,41,16,https://cdn.sofifa.net/players/225/719/16_120.png,['ST'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,3,2,0,1,Forward
221350,/player/221350/thierry-ambrose/160002,16,2,2015-09-21,T. Ambrose,Thierry Ambrose,"ST, RW",65,83,1000000.0,5000.0,18,1997-03-28,177,69,13.0,Premier League,1.0,10.0,Manchester City,RES,61.0,,2014-07-01,2020.0,18,France,,,,Right,2,2,1,High/Low,Lean (170-185),Yes,,,,87.0,63.0,48.0,64.0,25.0,54.0,45,68,64,53,49,63,48,31,35,60,88,86,77,55,72,67,76,58,57,49,34,19,66,56,60,,20,21,29,9,11,16,11,7,,65,65,65,63,63,63,63,63,60,60,60,61,51,51,51,61,45,39,39,39,45,44,38,38,38,44,15,https://cdn.sofifa.net/players/221/350/16_120.png,"['ST', 'RW']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,2,3,1,0,0,Unknown
216325,/player/216325/angus-gunn/160002,16,2,2015-09-21,A. Gunn,Angus Gunn,GK,63,78,625000.0,5000.0,19,1996-01-22,196,77,13.0,Premier League,1.0,10.0,Manchester City,RES,56.0,,2013-06-13,2020.0,14,England,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,,,,,,,,,,14,15,14,32,19,20,20,15,41,27,48,49,30,62,42,24,64,31,64,17,28,22,14,35,34,,18,16,14,64,63,66,64,63,49.0,27,27,27,28,29,29,29,28,30,30,30,30,31,31,31,30,27,30,30,30,27,27,28,28,28,27,63,https://cdn.sofifa.net/players/216/325/16_120.png,['GK'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,2,2,0,0,Goalkeeper
229670,/player/229670/david-faupala/160002,16,2,2015-09-21,D. Faupala,David Faupala,ST,62,81,550000.0,4000.0,18,1997-02-11,183,72,13.0,Premier League,1.0,10.0,Manchester City,RES,52.0,,2015-07-10,2018.0,18,France,,,,Right,2,2,1,Medium/Medium,Lean (170-185),No,,,,73.0,65.0,47.0,56.0,23.0,53.0,36,68,66,54,50,53,47,39,35,56,72,74,69,62,62,70,62,50,59,57,37,18,54,56,69,,23,15,17,10,13,14,9,13,,62,62,62,58,60,60,60,58,57,57,57,55,49,49,49,55,40,38,38,38,40,39,36,36,36,39,17,https://cdn.sofifa.net/players/229/670/16_120.png,['ST'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,2,2,0,1,Forward
190871,,16,2,2015-09-21,Neymar,Neymar da Silva Santos Júnior,LW,88,93,71500000.0,240000.0,23,1992-02-05,174,68,53.0,La Liga,1.0,241.0,FC Barcelona,LW,11.0,,2013-07-01,2018.0,54,Brazil,1370.0,LW,10.0,Right,5,5,5,High/Medium,Unique,Yes,,"#Speedster, #Dribbler, #Acrobat","Diver, Flair, Technical Dribbler (AI)",90.0,80.0,72.0,92.0,30.0,57.0,71,85,62,72,83,94,78,78,72,91,91,90,92,86,84,77,61,80,45,70,56,36,87,72,81,,21,24,33,9,9,15,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['LW'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1,3,2,0,1,Forward
192318,,16,2,2015-09-21,M. Götze,Mario Götze,"CAM, LM, CF, CM",84,88,38000000.0,170000.0,23,1992-06-03,176,72,19.0,Bundesliga,1.0,21.0,FC Bayern München,SUB,19.0,,2013-07-01,2017.0,21,Germany,1337.0,ST,19.0,Right,4,4,3,Medium/Medium,Normal (170-185),Yes,,"#Dribbler, #Acrobat","Flair, Technical Dribbler (AI)",72.0,73.0,81.0,88.0,32.0,62.0,76,78,54,85,83,88,80,74,75,90,76,68,87,85,84,68,70,68,64,62,48,53,84,84,65,,16,29,26,14,7,12,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['CAM', 'LM', 'CF', 'CM']",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1.0,4,2,2,0,1,Unknown
190460,,16,2,2015-09-21,C. Eriksen,Christian Dannemann Eriksen,"CAM, LM",83,87,31000000.0,120000.0,23,1992-02-14,177,71,13.0,Premier League,1.0,18.0,Tottenham Hotspur,SUB,23.0,,2013-08-30,2018.0,13,Denmark,1331.0,SUB,10.0,Right,5,4,3,High/Medium,Normal (170-185),Yes,,#FK Specialist,"Injury Free, Flair, Playmaker (AI), Technical Dribbler (AI)",77.0,75.0,84.0,83.0,44.0,59.0,84,75,52,84,69,84,85,86,82,85,81,74,77,81,79,78,57,87,51,77,44,45,75,85,67,,38,54,22,9,14,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['CAM', 'LM']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2,3,2,0,1,Unknown
209889,,16,2,2015-09-21,R. Guerreiro,Raphaël Adelino José Guerreiro,"LM, LB",76,84,7500000.0,40000.0,21,1993-12-22,170,67,16.0,Ligue 1,1.0,217.0,FC Lorient,LM,14.0,,2013-07-01,2017.0,38,Portugal,1354.0,SUB,5.0,Left,3,3,1,Medium/High,Normal (170-),No,,,Speed Dribbler (AI),83.0,71.0,72.0,79.0,73.0,64.0,77,73,61,76,71,78,65,58,70,79,84,82,83,71,84,75,60,75,56,72,69,72,71,68,37,,74,76,76,12,6,8,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['LM', 'LB']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,2,2,3,0,1,Unknown
